	attr	count
9007	i spy id	150
9008	i5 index 2	8
9009	i5index	8
9010	i7index	8
9011	i7index1	8
9012	iadl	37
9013	ias	39
9014	ias sg	39
9015	ibc vs non ibc	83
9016	ibd affected relatives	231
9017	ibd subtype	45
9018	icc subclass	130
9019	icd o 3 code	262
9020	icd o 3 diagnosis text	262
9021	iclip antibody	17
9022	iclip antibody cat	4
9023	iclip antibody vendor	4
9024	iclip bait	18
9025	iclip barcode	8
9026	icr strain mice, female, age	3
9027	icr10 mouse strain nrf2/gender female, age 2 months, n 1, of tissue 1, tissue	8
9028	icr10 mouse strain wt, gender female, age 2 months, n 1, of tissue 1, tissue	5
9029	icsi protocol	48
9030	icu admission	390
9031	icu day	277
9032	id	7415
9033	id in files	3
9034	id rutgers	507
9035	id schwartzentruber et al pmid 22286061	32
9036	id1	5
9037	id3 yfp expression	5
9038	idd related disease	12
9039	idd related diseases	23
9040	identfier	9
9041	identifier	616
9042	identifier of donor	10
9043	ideotype	79
9044	idh mut status	81
9045	idh mutational status at the mrna level	19
9046	idh status	307
9047	idh1	603
9048	idh1/2 genotype	156
9049	idh1/2 mutation status	41
9050	idh1/2 mutations	23
9051	idh1/h3f3a mutation status	67
9052	idh1 idh2	758
9053	idh1 mutation	410
9054	idh1 status	692
9055	idh2	468
9056	idh2 status	59
9057	idhmut	109
9058	idv id	18
9059	ieaa	358
9060	iesr ts	35
9061	if	9
9062	if interstital fibrosis	9
9063	if yes chemo protocol	8
9064	ifn a2b	28
9065	ifn pre treatment	19
9066	ifn type1	6
9067	ifna and tgfb responder	91
9068	ifna dose	19
9069	ifna responder	91
9070	ifnbeta status	4
9071	ifng	45
9072	ifnl3 rs12979860 genotype	187
9073	ifp	35
9074	ifta	24
9075	ig chain	41
9076	ig clonality	28
9077	iga	9
9078	ige kiu/l	18
9079	ige level	686
9080	igf response	27
9081	igf1 module tertile	121
9082	igf1r ihc status	116
9083	igf1r knockdown	8
9084	igg	434
9085	igh bcl2 fusion	224
9086	igh translocation	58
9087	ighv/zap 70 status	25
9088	ighv gene	123
9089	ighv homology	135
9090	ighv mutation status	162
9091	ighv status	245
9092	igm	36
9093	igm mc	40
9094	igr2096	43
9095	igr2198	43
9096	igr2230	43
9097	igs	267
9098	igt	119
9099	igvh 98 um unmutated m mutated	21
9100	igvh mutation status	113
9101	igvh mutational status fais et al j clin invest, 1998	474
9102	igvh status	37
9103	ih class	125
9104	ihc er	182
9105	ihc er percentage	240
9106	ihc her2	182
9107	ihc pr	182
9108	ihc pr percentage	240
9109	ihc substype	77
9110	ihnv status	36
9111	ihprna construct	8
9112	ii interstitial inflammation	9
9113	iid	787
9114	ikk2 status	13
9115	il 2 ifn index	6
9116	il 2 treatment	25
9117	il 23 responsiveness	9
9118	il 6 pg/ml	38
9119	il 8 group high vs low defined by il 8 median value	37
9120	il alpha treated	5
9121	il10 staining	6
9122	il10 status	5
9123	il105a type 2	2
9124	il105b type 2	2
9125	il114a type 2	2
9126	il114b type 2	2
9127	il114c type 2	2
9128	il116a type 2	2
9129	il116b type 2	2
9130	il117a type 2	2
9131	il117b type 2	2
9132	il119a type 2	2
9133	il119b type 2	2
9134	il120a type 2	2
9135	il120b type 2	2
9136	il121a type 2	2
9137	il121b type 2	2
9138	il122a type 2	2
9139	il122b type 2	2
9140	il123a type 2	2
9141	il123b type 2	2
9142	il123c type 2	2
9143	il124a type 2	2
9144	il124b type 2	2
9145	il125a type 2	2
9146	il125b type 2	2
9147	il126a type 2	2
9148	il126b type 2	2
9149	il17 status	17
9150	il1b il6 response to interleukin 1b in pg/ml	100
9151	il4	28
9152	il4 stimulation	13
9153	il4 stimulation time	19
9154	il4r genotype	7
9155	il7r haplotype	15
9156	il7r mutational status	44
9157	ild subtype	255
9158	illness	3085
9159	illness day	31
9160	illness duration at time of biopsy days	36
9161	illness duration days	68
9162	illness duration days of illness prior to treatment beginning	590
9163	illness duration in years	43
9164	illnesssx	80
9165	illumina 3 index	12
9166	illumina 3 index number	15
9167	illumina 3' index	12
9168	illumina 3' index number	15
9169	illumina adapter barcode	13
9170	illumina barcode	17
9171	illumina chip bar code	22
9172	illumina chip number	88
9173	illumina hyb	27
9174	illumina index	254
9175	illumina index number	22
9176	illumina protocol	5
9177	illumina read 2 barcode	62
9178	illumina rna seq bar codes	13
9179	illumina truseq index number	15
9180	illumina truseq rna index	9
9181	image	19
9182	image analysis program	165
9183	image file	67
9184	imagene id	41
9185	imagery condition	199
9186	imaginal discs were dissected in pbs and submitted to one round of linear t7 based rna amplification as described in	2
9187	imatinib	438
9188	imatinib dose mg/day	356
9189	imatinib treatment	14
9190	imf content	21
9191	imiquimod il6 response to imiquimod in pg/ml	100
9192	immersed in	7
9193	immobilization duration	15
9194	immortalization	41
9195	immortalization method	16
9196	immortalization type	79
9197	immortalized	22
9198	immortalized cells derived from brown fat of pgc 1alpha ko mouse mixed background passage number	4
9199	immortalized cells derived from brown fat tissue of mouse of mixed background passage number	7
9200	immortalized cells derived from brown fat tissue of pgc 1alpha ko mouse mixed background passage number	4
9201	immortalized, nontumorigenic human bronchial epithelial cell line atcc no	2
9202	immune status	282
9203	immune strain/background	14
9204	immunization	176
9205	immunization method	7
9206	immunization outcome	5
9207	immunization route	13
9208	immunization status	20
9209	immunized with	31
9210	immuno activated	17
9211	immuno supression	27
9212	immunocytochemistry	94
9213	immunodepletion	6
9214	immunogen	119
9215	immunogen treatment	13
9216	immunohistochemistry	214
9217	immunohistochemistry for mlh1/msh2/msh6/pms2	75
9218	immunohistochemistry subgroup	499
9219	immunological status	49
9220	immunopathological classification	16
9221	immunophenotype	1559
9222	immunophenotypic definition	32
9223	immunoprecipiated with	6
9224	immunoprecipitate	3
9225	immunoprecipitated protein	73
9226	immunoprecipitation	26
9227	immunoprecipitation antibody	15
9228	immunoprecipitation reagent	3
9229	immunosuppression treatment	28
9230	immunosuppressive drugs	97
9231	immunosuppressors	30
9232	immunotolerance group	133
9233	immunotoxicity	90
9234	immunotype	61
9235	immunprecipitation	74
9236	imortalization	16
9237	imp mutation	3
9238	implant dose	36
9239	implant host	81
9240	implanted period	5
9241	implanted scaffold	5
9242	implated cell line/type	36
9243	imprepi thickness	67
9244	imprining of igf2	7
9245	imprkrt16w12	89
9246	imprkrt16w12 75	89
9247	improvementpasiatw12	89
9248	improvementtpssatw12	89
9249	imunoprecipitation of prg 1 containing protein complexes was preformed by pre clearing worm extracts with 20microl of protein a/g plus agarose santa cruz biotechnologies beads per 5 mg of total protei	3
9250	in eqtl	242
9251	in situ	116
9252	in utero exposure	41
9253	in vitro activation	17
9254	in vitro culture	57
9255	in vitro culture conditions	60
9256	in vitro culture time	10
9257	in vitro cultured	4
9258	in vitro differentiation days	25
9259	in vitro lymphocyte gc sensitivity lgs inhibition by dex	230
9260	in vitro lymphocyte vitd sensitivity lgs inhibition by vitd	25
9261	in vitro material	3
9262	in vitro maturation conditions	60
9263	in vitro or in vivo	73
9264	in vitro passage number	8
9265	in vitro production	62
9266	in vitro stage	7
9267	in vitro stimulation blood volume per condition	366
9268	in vitro stimulation condition	366
9269	in vitro stimulation incubation time	366
9270	in vitro treated ifnb	33
9271	in vitro treatment	156
9272	in vivo derived	21
9273	in vivo fed/fasted state	7
9274	in vivo growth	64
9275	in vivo labeled total rna from hog1 mutant yeast strain t0	5
9276	in vivo labeled total rna from hog1 mutant yeast strain t10	5
9277	in vivo labeled total rna from hog1 mutant yeast strain t15	5
9278	in vivo labeled total rna from hog1 mutant yeast strain t2	5
9279	in vivo labeled total rna from hog1 mutant yeast strain t4	5
9280	in vivo labeled total rna from hog1 mutant yeast strain t6	5
9281	in vivo labeled total rna from hog1 mutant yeast strain t8	5
9282	in vivo labeled total rna from w303 1a yeast strain t0	7
9283	in vivo labeled total rna from w303 1a yeast strain t10	5
9284	in vivo labeled total rna from w303 1a yeast strain t15	5
9285	in vivo labeled total rna from w303 1a yeast strain t2	5
9286	in vivo labeled total rna from w303 1a yeast strain t4	5
9287	in vivo labeled total rna from w303 1a yeast strain t6	5
9288	in vivo labeled total rna from w303 1a yeast strain t8	5
9289	in vivo leukemia initiating capacity	91
9290	in vivo or in vitro	380
9291	in vivo passage	824
9292	in vivo phenotype	7
9293	in vivo priming	5
9294	in vivo treatment	294
9295	in vivo treatment with	18
9296	in1 hb	23
9297	in1 lb	23
9298	in5 hb	14
9299	in5 lb	14
9300	in9 hb	23
9301	in9 lb	23
9302	inattention	22
9303	inbred	46
9304	inbred/open pollinated	4
9305	inbred dahl salt sensitive ss/jr adult male rat tissue	36
9306	inbred line	1146
9307	inbred strain	47
9308	incidence	16
9309	include in bl	62
9310	include in paired	62
9311	included in analysis	444
9312	included in case control study	720
9313	inclusion criteria	16
9314	inclusion date	289
9315	inclusion markers	1030
9316	income	107
9317	increased dna binding	997
9318	incubated	41
9319	incubated fatty acid	17
9320	incubated in	39
9321	incubated or treated with	86
9322	incubated with	198
9323	incubated with 4su for	373
9324	incubation	315
9325	incubation condition	52
9326	incubation conditions	97
9327	incubation duration	13
9328	incubation hours	9
9329	incubation medium	74
9330	incubation on brain section	13
9331	incubation partner	2
9332	incubation temperature	29
9333	incubation time	674
9334	incubation time at secondary media ph 7	3
9335	incubation time days	50
9336	incubation time days before harvest	4
9337	incubation time hours	92
9338	incubation treatment	65
9339	incubator	98
9340	ind1 protocol	75
9341	ind1 response	75
9342	ind2 protocol	8
9343	ind2 response	8
9344	indeno 1,2,3 cd pyrene ng/m3	36
9345	index	419
9346	index 1	41
9347	index 2	4
9348	index case disease site	140
9349	index id	499
9350	index pair	85
9351	index sequence	211
9352	indication	160
9353	indication for delivery	10
9354	indicator of clinical response cr 1/pr 2/sd 3	12
9355	indictation for procedure	149
9356	individual	35385
9357	individual/donor id	27
9358	individual/pool	58
9359	individual/probe/cow number	9
9360	individual/replicate	7
9361	individual characteristics	8
9362	individual condition	30
9363	individual genetic characteristics	26
9364	individual genetic characters	12
9365	individual genotype	8
9366	individual id	8090
9367	individual identifier	2573
9368	individual identifier 1	126
9369	individual identifier 2	126
9370	individual identifier 3	126
9371	individual indiv id	57
9372	individual name	204
9373	individual no	65
9374	individual number	115
9375	individual or treatment	34
9376	individual type	1337
9377	individuals	32
9378	individuals/year/stage	41
9379	individuum	121
9380	indivisual id	5
9381	indivrep	18
9382	induce condition	8
9383	induce ifnbeta	34
9384	induced by	7
9385	induced for	42
9386	induced gene	74
9387	induced genes	22
9388	induced genotype	7
9389	induced overexpression	10
9390	induced pluripotent stem ips cells from mouse neural stem cells nsc strain	7
9391	induced pluripotent stem ips cells from mouse neural stem cells nscs strain	4
9392	induced shrna	7
9393	induced to express	5
9394	induced with	85
9395	inducer	60
9396	inducer treatment	12
9397	inducible expression	7
9398	inducible gene	121
9399	inducible protein	19
9400	inducible shrna	11
9401	inducible trasngene	17
9402	inducible vector	23
9403	inducing agent	11
9404	induction	323
9405	induction agent	20
9406	induction chemotherapy 0 no, 1 yes	88
9407	induction date	348
9408	induction duration	20
9409	induction failure	45
9410	induction hormonal therapy with ar 0 no, 1 yes	88
9411	induction hormonal therapy with ta 0 no, 1 yes	88
9412	induction method	7
9413	induction of labor	156
9414	induction of mir 221	13
9415	induction stage	5
9416	induction status	13
9417	induction system	7
9418	induction therapy	10
9419	induction time	287
9420	induction time h	19
9421	induction time hours	9
9422	induration	28
9423	infant age	9
9424	infant gender	502
9425	infant sex	126
9426	infant weight g	126
9427	infantile spasms	21
9428	infantsex	22
9429	infect site	124
9430	infected	122
9431	infected cell	85
9432	infected cell line	40
9433	infected cells	3
9434	infected construct	56
9435	infected host	29
9436	infected host cell line	35
9437	infected host plant	5
9438	infected host plants	7
9439	infected host tissue	7
9440	infected human culture	58
9441	infected shrna	41
9442	infected strain	43
9443	infected with	2357
9444	infected with bacterial strain	5
9445	infected with retroviral vector to express	9
9446	infected with sgrna	13
9447	infecting agent	41
9448	infecting organism	89
9449	infecting ospc type	111
9450	infecting parasite species	61
9451	infecting pathogen	93
9452	infecting serotype	266
9453	infecting virus	8
9454	infection	18585
9455	infection/agent	9
9456	infection/in vitro stimulation	16
9457	infection/resistance status	13
9458	infection/treatment	18
9459	infection/virus strain	19
9460	infection agent	158
9461	infection by nematode	13
9462	infection class	37
9463	infection code	785
9464	infection condition	58
9465	infection day	7
9466	infection dosage	7
9467	infection dose	31
9468	infection dose and wk p i	5
9469	infection duration	127
9470	infection duration days	73
9471	infection e coli genotype	30
9472	infection frog virus 3	17
9473	infection group	169
9474	infection host	20
9475	infection influenza strain	77
9476	infection localization	144
9477	infection microorganism	13
9478	infection model isolate source	32
9479	infection mouse	14
9480	infection of d immitis strain	3
9481	infection of mice	5
9482	infection period	20
9483	infection phase	17
9484	infection physiological condition	11
9485	infection protocol	8
9486	infection reagent	29
9487	infection route	13
9488	infection stage	25
9489	infection state	21
9490	infection status	2674
9491	infection susceptibility	25
9492	infection time	301
9493	infection time min	25
9494	infection time point	12
9495	infection timepoint	8
9496	infection type	622
9497	infection virus strain	21
9498	infection with	13
9499	infection with arthroconidia of c immitis	9
9500	infection with virus	30
9501	infectioncode	7
9502	infectiondose	137
9503	infectionroute	137
9504	infectionvolume	137
9505	infectionvolumeunits	137
9506	infectious agent	698
9507	infectious status	19
9508	infective status	42
9509	infectivity	121
9510	inferior vena cava involvement	37
9511	inferred cell type	5070
9512	inferred gender	443
9513	infertility	7
9514	infestation	84
9515	infiltrated with	10
9516	infiltrating t cells	70
9517	infiltration	91
9518	infiltration solution	13
9519	inflamed	77
9520	inflamed 0 no, 1 yes	990
9521	inflammation	279
9522	inflammation/pvb19	14
9523	inflammation cd68 cd3	49
9524	inflammation level	20
9525	inflammation signs	25
9526	inflammation status	341
9527	inflammatory	43
9528	inflammatory brca	158
9529	inflammatory cells	263
9530	inflammatory cytokines used	5
9531	inflammatory phenotypes of asthma	54
9532	inflammatory response	31
9533	influenza a virus titer	26
9534	influenza strain	256
9535	influenza strains	5
9536	influenza virus strain	61
9537	informatic analysis group	54
9538	inframe replacement of pfka2 gene orf id	5
9539	infrequent clonal strain code	5
9540	infusion of crystalloid or colloid solution diluted in physiological saline	49
9541	inhaled medications	270
9542	inheritance	2
9543	inhibition	5
9544	inhibition rate relative to control sirna	4
9545	inhibitor	369
9546	inhibitor exposure	25
9547	initial age infection day	13
9548	initial cell type	13
9549	initial clinical size in mm by palpation	111
9550	initial cm	58
9551	initial dap concentration	23
9552	initial diagnosis	75
9553	initial diagnosis date	14
9554	initial differentiation	416
9555	initial distant metastases	25
9556	initial highest diameter in mm by image	111
9557	initial isolate source	32
9558	initial itaconic acid	5
9559	initial number of cells plated	13
9560	initial p aeruginosa isolate source	28
9561	initial patient nfkb level	24
9562	initial processing lab	686
9563	initial psa ng/ml	23
9564	initial psa ug/l	50
9565	initial sequence	71
9566	initial somites	205
9567	initial stringent wash cycles before first staining first series	19
9568	initial stringent wash cycles before second staining second series	19
9569	initial symptoms	45
9570	initial tcdd dose	10
9571	initial treatment	75
9572	initial tumor increase/decrease	55
9573	initial tumor volume	17
9574	initial tumour onset days	29
9575	initially, a cell line expressing the dox responsive krab repressor and redfp pttr krab red was generated then, this cell line was infected with viruses for expression of the different h1 variants shr	17
9576	initialtimepoint	309
9577	initiation	50
9578	initiation of labor	23
9579	injected activity	501
9580	injected agent	30
9581	injected cell line	11
9582	injected cells	4
9583	injected construct	28
9584	injected into	7
9585	injected mrna	80
9586	injected timepoint	5
9587	injected with	918
9588	injection	425
9589	injection age	21
9590	injection dose	8
9591	injection into scid mice	31
9592	injection position	7
9593	injection site	25
9594	injection time	9
9595	injection timepoint	5
9596	injury	863
9597	injury condition	19
9598	injury conditions	5
9599	injury duration	81
9600	injury inhalation	115
9601	injury level	6
9602	injury model	25
9603	injury stage	60
9604	injury status	6
9605	injury type	81
9606	inm protein	4
9607	inner integument and nucellus, biological repl	5
9608	innocuation site	9
9609	innoculation	41
9610	inoculant	286
9611	inoculated	31
9612	inoculated from	4
9613	inoculated fungi	15
9614	inoculated into	45
9615	inoculated on	9
9616	inoculated tumor	5
9617	inoculated with	652
9618	inoculation	235
9619	inoculation agent	35
9620	inoculation density	9
9621	inoculation method	49
9622	inoculation status	70
9623	inoculation treatment	27
9624	inoculation treatment 1 on spk 0	38
9625	inoculation treatment 2 on spk 2	38
9626	inoculation treatment on f0	14
9627	inoculation type	23
9628	inoculum	95
9629	inoculum genotype	17
9630	inoculum route	228
9631	inpp4b mrna	96
9632	input	172
9633	input 1	29
9634	input 2	29
9635	input 3	29
9636	input amount	43
9637	input amount rna	72
9638	input cell number	10
9639	input dna	36
9640	input dna amount	11
9641	input experiment/sample	4
9642	input for rna preparation	15
9643	input kras mutations	11
9644	input material	1810
9645	input ng	8
9646	input note	84
9647	input regime	66
9648	input rna	5
9649	input rna volume	27
9650	input sequnces libarary	5
9651	input used	9
9652	input used for homer peak calling	6
9653	input used for peak calling	3
9654	inr	7
9655	insect cell line	32
9656	insect resistance	3
9657	insect strain	7
9658	insect treatment	19
9659	insecticide	11
9660	insecticide resistance	9
9661	insemination	12
9662	insert in network gene	49
9663	insert in nfia	49
9664	insert length mean	5
9665	insert length standard deviation	5
9666	insert size	88
9667	insert size bp	77
9668	insert size standard deviation	19
9669	insert size standard deviation bp	77
9670	insert standard deviation	33
9671	insert type	49
9672	inserted gene	12
9673	insertlength	62
9674	insertlength description	25
9675	insgenin insulinogenic index	201
9676	inss	139
9677	inss stage	1413
9678	institute biomaterial	107
9679	institution	515
9680	institutional tumor diagnosis	769
9681	instrument model	10
9682	insulin	277
9683	insulin 0h	119
9684	insulin 0h, pmol/l	7
9685	insulin 1h	119
9686	insulin 2h	119
9687	insulin 2h, pmol/l	7
9688	insulin dose u/kg/day 12months post diagnosis	23
9689	insulin dose u/kg/day 3months post diagnosis	23
9690	insulin dose u/kg/day 6months post diagnosis	22
9691	insulin dose u/kg/day 9months post diagnosis	22
9692	insulin growth factor 1	267
9693	insulin resistance	692
9694	insulin sensitivity	78
9695	insulin sensitivity m value	29
9696	insulin tolerance test	58
9697	insulin uiu per ml	436
9698	intact line	44
9699	intact t	9
9700	integrated sequence	9
9701	integrated vector	28
9702	integration	17
9703	integrative analysis	84
9704	integrin	13
9705	integrin a3 status	7
9706	intensity	87
9707	intensive monitoring	49
9708	inter biopsy interval days	77
9709	inter sample correlation	138
9710	interaction	66
9711	interaction type	3
9712	interaction with	13
9713	interferon signature	46
9714	interferon signature category	61
9715	intergenic bases picard	36
9716	internal id	57
9717	internal identifier number	7
9718	internal reference	28
9719	internal sample	49
9720	internal sample number	49
9721	internal strain reference	41
9722	internalized bead	97
9723	international prognostic index	333
9724	international prognostic score ips	132
9725	international prognostic scoring system ipss	108
9726	internvention	25
9727	interrogated locus	8
9728	intersex index	10
9729	interstitial fluid flow iff status	14
9730	interstitial pneumonia	13
9731	interval between specimen collection and anti pd1 therapy months	12
9732	interval cfc and recall	31
9733	intervening therapy f fludarabine, c cyclophosphamide, r rituximab, cam campath/alemtuzumab, chlor chlorambucil	28
9734	intervention	675
9735	intervention number	69
9736	intervention shake	129
9737	intervention status	46
9738	intervention treatment	63
9739	intestinal colonization	5
9740	intestinal epithelial cells	21
9741	intestine segment	17
9742	intra muscular injection on the third day	9
9743	intra tumoral stroma	59
9744	intracellular domain of notch1 icn1 status	5
9745	intracellular transfer	6
9746	intracranial injection of 9l cells expressing	13
9747	intragastric administration	32
9748	intrahepatic metastasis	50
9749	intramuscular fatty acid composition	11
9750	intraoperative brachtherapy	47
9751	intraperitoneal sensitization	9
9752	intravasating capacity	47
9753	intravesical therapy	107
9754	intrec1	31
9755	intrinsic molecular subtype	240
9756	intrinsic subtype	603
9757	intrinsic subtype by pam50	150
9758	intrinsic subtypes by pam50	155
9759	introduced construct	19
9760	intronic bases picard	36
9761	intrusion treatment	33
9762	intrustion treatment	33
9763	intstat	61
9764	intubation	144
9765	inv 16	345
9766	inv type	116
9767	invasion	309
9768	invasion ability	5
9769	invasion capsule	50
9770	invasive	25
9771	invasive b r grade	15
9772	invasive behavior	6
9773	invasive carcinoma	125
9774	invasive tumor area size1 mm	155
9775	invasive tumor area size2 mm	156
9776	invasive tumor cells	156
9777	invasive tumor grade	156
9778	invasive tumor size	29
9779	invasive tumour type	15
9780	invasiveness	169
9781	inventory sample name	74
9782	inversion	11
9783	invivo 1 invitro 0	205
9784	involution	17
9785	iodine treatment	9
9786	ionized calcium mmol/l	19
9787	ionizing radiation	31
9788	ionizing radiation treatment	25
9789	iosourcetype	3
9790	ip	85
9791	ip/input	6
9792	ip ab	8
9793	ip antibody	1047
9794	ip antibody/beads information	10
9795	ip antibody cat	48
9796	ip antibody cat/lot	3
9797	ip antibody catalog	9
9798	ip antibody code	3
9799	ip antibody description	6
9800	ip antibody info	10
9801	ip antibody lot	16
9802	ip antibody provider	2
9803	ip antibody ref	6
9804	ip antibody vendor	98
9805	ip batch	103
9806	ip conditions	7
9807	ip date	19
9808	ip method	4
9809	ip or input	57
9810	ip or input dna	7
9811	ip protein	25
9812	ip rna amount	8
9813	ip status	4
9814	ip target	45
9815	ipah	2
9816	ipi	193
9817	ipi stage	132
9818	ipi status	63
9819	ipiscore	118
9820	ipk plant id	41
9821	ips cell line	6
9822	ips cell line name	41
9823	ips derived from	9
9824	ips origin	14
9825	ipsc	17
9826	ipsc/esc line	21
9827	ipsc clone	84
9828	ipsc group	15
9829	ipsc method	7
9830	ipsc source	37
9831	ipsc source individual id	2
9832	ipscs derived from	15
9833	ipsilateral event	156
9834	ipss	859
9835	ipss risk category	22
9836	iptg conc	3
9837	iptg concentration	129
9838	iptg concentration mum	39
9839	ir dose	61
9840	ir exposure	6
9841	irf4 prediction	276
9842	irf4 probability	276
9843	irf4 shrna expression	25
9844	irf4 status	276
9845	irish score	71
9846	iron	50
9847	iron concentration	5
9848	iron concentration microm	15
9849	iron concentration um	50
9850	iron deficiency treatment length	16
9851	iron source	17
9852	iron status	11
9853	iron stock	4
9854	iron tolerance	10
9855	iron tolerane	2
9856	irradation	39
9857	irradiance level	7
9858	irradiated	17
9859	irradiated age	39
9860	irradiated area	89
9861	irradiated with	9
9862	irradiation	190
9863	irradiation dose	31
9864	irradiation dose gy	163
9865	irradiation status	49
9866	irrigation status	13
9867	irritable bowel syndrome	143
9868	is back anagen	198
9869	is metastasis	64
9870	is tumor	530
9871	ischemia protocol	49
9872	ischemic event	224
9873	ischemic time	838
9874	ischemic time days	224
9875	iscn	4
9876	ishak fiborosis score	49
9877	ishak fibrosis	73
9878	island	241
9879	island of origin	49
9880	islet donor strain	3
9881	ism	119
9882	iso/allo	6
9883	isofemale line	55
9884	isoform	18
9885	isoform purified from	8
9886	isogenic group	40
9887	isogenic line	58
9888	isogenic variation	7
9889	isogenicity	75
9890	isolate	1421
9891	isolate agr type	144
9892	isolate analyzed	144
9893	isolate characteristics	7
9894	isolate eta	144
9895	isolate etb	144
9896	isolate id	144
9897	isolate number	101
9898	isolate pvl	144
9899	isolate region	19
9900	isolate rep pcr	144
9901	isolate sea	144
9902	isolate seb	144
9903	isolate sec	144
9904	isolate seg	144
9905	isolate seh	144
9906	isolate sensitivity	178
9907	isolate sscmec	144
9908	isolate strain	144
9909	isolate tsst	144
9910	isolate type	19
9911	isolated by	11
9912	isolated from	26
9913	isolated rna	17
9914	isolation	390
9915	isolation/cell type	18
9916	isolation beads	5
9917	isolation date	6
9918	isolation from metastatic site	17
9919	isolation method	391
9920	isolation of lineage negative progenitors	4
9921	isolation of tumor cells	13
9922	isolation probe	11
9923	isolation protocol	24
9924	isolation source	270
9925	isolation stage	22
9926	isopropanol concentration	9
9927	isotype	4
9928	isotype specific secondary antibody fluorescently labeled	287
9929	isotype specific, secondary antibody fluorescently labeled	287
9930	isotype switching	5
9931	isprimary	115
9932	isre status	10
9933	iss	321
9934	itn name	476
9935	iugr diagnosis	158
9936	iv cs	158
9937	iv solumedrol treatment	33
9938	ivf/icsi protocol	24
9939	ivf condition	7
9940	ivf outcome	96
9941	ivf procedure	10
9942	ivf protocol	186
9943	ivig	342
9944	ivm concentration	37
9945	ivt on extraction day	91
9946	ivt rna	3
9947	ivt rna input quantity	14
9948	ivt total ug/ml	55
9949	j2 fibroblast status	6
9950	jak inhibitor	49
9951	jak inhinitor	21
9952	jak2	85
9953	jak2 amp 9p24 3	106
9954	jak2 r683 mutation	39
9955	jak2 v617 neutrophil burden	21
9956	jak2 v617f quantitative genotyping	106
9957	jak2v617f	147
9958	jak3 mutation	271
9959	japonica, variety	7
9960	jax number	7
9961	jcv replication rate	15
9962	jmjd1a mutant allele	13
9963	jmjd6 expression	29
9964	jobevaluation	107
9965	joint	82
9966	joint location	84
9967	joint problems	377
9968	joints	158
9969	julian day	58
9970	jun status	18
9971	jury	49
9972	k	33
9973	k 562 blasts are multipotential, hematopoietic malignant cells that spontaneously differentiate into recognizable progenitors of the erythrocytic, granulocytic and monocytic series lozzio bb, et al a	9
9974	k lactis strain	2
9975	k ras/n ras status	10
9976	k ras dependence	41
9977	k ras mutation	560
9978	k ras status	282
9979	k562	4
9980	k562 cell	14
9981	k562 cells	10
9982	kairomone	13
9983	kalium	119
9984	kaplan meier days	117
9985	karen dybkaer, guimei zhou, javeed iqbal, david kelly, li xiao, simon sherman, francesco d amore and wing c chan	21
9986	karen dybkaer, guimei zhou, javeed iqbal, david kelly, li xiao, simon sherman, francesco d'amore and wing c chan	21
9987	karnofsky index	234
9988	karnofsky performance status kps	36
9989	karotype	27
9990	karyotype	2500
9991	karyotype and igh status	54
9992	karyotype classification	48
9993	karyotype of patient donor	48
9994	karyotypic aberration	87
9995	karyptype	9
9996	kawahara k, shimazu a 2003 expression and intracellular localization of progesterone receptors in cultured human gingival fibroblasts j periodontal res 38	2
9997	kbw kidney/body weight	81
9998	kc source	13
9999	kcal fat in diet	5
10000	kcl treatment time hours	29
10001	kco predicted	33
10002	kd batch id	55
10003	kd level	202
10004	kdm3a expression	13
10005	kdri	71
10006	kept in	13
10007	keratinocyte source	9
10008	keratinocytes	12
10009	ketoprofen concentration	17
10010	kf 104	2
10011	kf 105	2
10012	kf 106	2
10013	kf 110	2
10014	kf 113	2
10015	kf 117	2
10016	kf 120	2
10017	kf 123	2
10018	kf 124	2
10019	kf 125	2
10020	kf 126	2
10021	kf 127	2
10022	kf 128	2
10023	kf 129	2
10024	kf 130	2
10025	kf 131	2
10026	kf 132	2
10027	kf 133	2
10028	kf 134	2
10029	kf 135	2
10030	kf 136	2
10031	kf 137	2
10032	kf 138	2
10033	kf 139	2
10034	kf 140	2
10035	kf 141	2
10036	kf 142	2
10037	kf 143	2
10038	kf 144	2
10039	kf 145	2
10040	kf 146	2
10041	kf 147	2
10042	kf 149	2
10043	kf 150	2
10044	kf 151	2
10045	kf 152	2
10046	kf 153	2
10047	kf 154	2
10048	kf 155	2
10049	kf 157	2
10050	kf 159	2
10051	kf 160	2
10052	kf 176	2
10053	kf 178	2
10054	kf 182	2
10055	kf 183	2
10056	kf 184	2
10057	kf 187	2
10058	kf 188	2
10059	kf 189	2
10060	kf 193	2
10061	kf 194	2
10062	kf 195	2
10063	kf 196	2
10064	kf 200	2
10065	kf 201	2
10066	kf 203	2
10067	kf 204	2
10068	kf 207	2
10069	kf 67	2
10070	kf 69	2
10071	kf 70	2
10072	kf 76	2
10073	kf 77	2
10074	kf 79	2
10075	kf 90	2
10076	kf 94	2
10077	kf 95	2
10078	kf 97	2
10079	kf 98	2
10080	ki	31
10081	ki 67	59
10082	ki 67 index	81
10083	ki 67 score	224
10084	ki67	1782
10085	ki67 0 30,1 30	82
10086	ki67 1	40
10087	ki67 2	26
10088	ki67 6 1	28
10089	ki67 expression level	11
10090	ki67 ihc	698
10091	ki67 ihc status	116
10092	ki67 proliferation index	20
10093	ki67 reduction	23
